from	to	title	journ	pub_year	doc_type
au31	au16	Case study of a college mathematics instructor: patterns of classroom discourse	EDUCATIONAL STUDIES IN MATHEMATICS	2011	Article
au27	au16	Case study of a college mathematics instructor: patterns of classroom discourse	EDUCATIONAL STUDIES IN MATHEMATICS	2011	Article
au44	au14	Dispositional Empathy and the Hierarchical Structure of Personality	AMERICAN JOURNAL OF PSYCHOLOGY	2011	Article
au44	au40	Dispositional Empathy and the Hierarchical Structure of Personality	AMERICAN JOURNAL OF PSYCHOLOGY	2011	Article
au14	au40	Dispositional Empathy and the Hierarchical Structure of Personality	AMERICAN JOURNAL OF PSYCHOLOGY	2011	Article
au15	au7	Gender Differences in Responding to Conflict in the Workplace: Evidence from a Large Sample of Working Adults	SEX ROLES	2010	Article
au15	au33	Gender Differences in Responding to Conflict in the Workplace: Evidence from a Large Sample of Working Adults	SEX ROLES	2010	Article
au7	au33	Gender Differences in Responding to Conflict in the Workplace: Evidence from a Large Sample of Working Adults	SEX ROLES	2010	Article
au18	au15	Empathy and Social Support Provision in Couples: Social Support and the Need to Study the Underlying Processes	JOURNAL OF PSYCHOLOGY	2010	Article
au18	au59	Empathy and Social Support Provision in Couples: Social Support and the Need to Study the Underlying Processes	JOURNAL OF PSYCHOLOGY	2010	Article
au18	au6	Empathy and Social Support Provision in Couples: Social Support and the Need to Study the Underlying Processes	JOURNAL OF PSYCHOLOGY	2010	Article
au15	au59	Empathy and Social Support Provision in Couples: Social Support and the Need to Study the Underlying Processes	JOURNAL OF PSYCHOLOGY	2010	Article
au15	au6	Empathy and Social Support Provision in Couples: Social Support and the Need to Study the Underlying Processes	JOURNAL OF PSYCHOLOGY	2010	Article
au59	au6	Empathy and Social Support Provision in Couples: Social Support and the Need to Study the Underlying Processes	JOURNAL OF PSYCHOLOGY	2010	Article
au15	au33	AGE DIFFERENCES IN RESPONSES TO CONFLICT IN THE WORKPLACE	INTERNATIONAL JOURNAL OF AGING & HUMAN DEVELOPMENT	2009	Article
au15	au7	AGE DIFFERENCES IN RESPONSES TO CONFLICT IN THE WORKPLACE	INTERNATIONAL JOURNAL OF AGING & HUMAN DEVELOPMENT	2009	Article
au33	au7	AGE DIFFERENCES IN RESPONSES TO CONFLICT IN THE WORKPLACE	INTERNATIONAL JOURNAL OF AGING & HUMAN DEVELOPMENT	2009	Article
au59	au6	Support Provision in Marriage: The Role of Emotional Similarity and Empathic Accuracy	EMOTION	2008	Article
au59	au30	Support Provision in Marriage: The Role of Emotional Similarity and Empathic Accuracy	EMOTION	2008	Article
au59	au14	Support Provision in Marriage: The Role of Emotional Similarity and Empathic Accuracy	EMOTION	2008	Article
au59	au18	Support Provision in Marriage: The Role of Emotional Similarity and Empathic Accuracy	EMOTION	2008	Article
au6	au30	Support Provision in Marriage: The Role of Emotional Similarity and Empathic Accuracy	EMOTION	2008	Article
au6	au14	Support Provision in Marriage: The Role of Emotional Similarity and Empathic Accuracy	EMOTION	2008	Article
au6	au18	Support Provision in Marriage: The Role of Emotional Similarity and Empathic Accuracy	EMOTION	2008	Article
au30	au14	Support Provision in Marriage: The Role of Emotional Similarity and Empathic Accuracy	EMOTION	2008	Article
au30	au18	Support Provision in Marriage: The Role of Emotional Similarity and Empathic Accuracy	EMOTION	2008	Article
au14	au18	Support Provision in Marriage: The Role of Emotional Similarity and Empathic Accuracy	EMOTION	2008	Article
au17	au6	MEASURING EMPATHIC TENDENCIES: RELIABILITY AND VALIDITY OF THE DUTCH VERSION OF THE INTERPERSONAL REACTIVITY INDEX	PSYCHOLOGICA BELGICA	2007	Article
au17	au59	MEASURING EMPATHIC TENDENCIES: RELIABILITY AND VALIDITY OF THE DUTCH VERSION OF THE INTERPERSONAL REACTIVITY INDEX	PSYCHOLOGICA BELGICA	2007	Article
au17	au49	MEASURING EMPATHIC TENDENCIES: RELIABILITY AND VALIDITY OF THE DUTCH VERSION OF THE INTERPERSONAL REACTIVITY INDEX	PSYCHOLOGICA BELGICA	2007	Article
au17	au48	MEASURING EMPATHIC TENDENCIES: RELIABILITY AND VALIDITY OF THE DUTCH VERSION OF THE INTERPERSONAL REACTIVITY INDEX	PSYCHOLOGICA BELGICA	2007	Article
au17	au15	MEASURING EMPATHIC TENDENCIES: RELIABILITY AND VALIDITY OF THE DUTCH VERSION OF THE INTERPERSONAL REACTIVITY INDEX	PSYCHOLOGICA BELGICA	2007	Article
au6	au59	MEASURING EMPATHIC TENDENCIES: RELIABILITY AND VALIDITY OF THE DUTCH VERSION OF THE INTERPERSONAL REACTIVITY INDEX	PSYCHOLOGICA BELGICA	2007	Article
au6	au49	MEASURING EMPATHIC TENDENCIES: RELIABILITY AND VALIDITY OF THE DUTCH VERSION OF THE INTERPERSONAL REACTIVITY INDEX	PSYCHOLOGICA BELGICA	2007	Article
au6	au48	MEASURING EMPATHIC TENDENCIES: RELIABILITY AND VALIDITY OF THE DUTCH VERSION OF THE INTERPERSONAL REACTIVITY INDEX	PSYCHOLOGICA BELGICA	2007	Article
au6	au15	MEASURING EMPATHIC TENDENCIES: RELIABILITY AND VALIDITY OF THE DUTCH VERSION OF THE INTERPERSONAL REACTIVITY INDEX	PSYCHOLOGICA BELGICA	2007	Article
au59	au49	MEASURING EMPATHIC TENDENCIES: RELIABILITY AND VALIDITY OF THE DUTCH VERSION OF THE INTERPERSONAL REACTIVITY INDEX	PSYCHOLOGICA BELGICA	2007	Article
au59	au48	MEASURING EMPATHIC TENDENCIES: RELIABILITY AND VALIDITY OF THE DUTCH VERSION OF THE INTERPERSONAL REACTIVITY INDEX	PSYCHOLOGICA BELGICA	2007	Article
au59	au15	MEASURING EMPATHIC TENDENCIES: RELIABILITY AND VALIDITY OF THE DUTCH VERSION OF THE INTERPERSONAL REACTIVITY INDEX	PSYCHOLOGICA BELGICA	2007	Article
au49	au48	MEASURING EMPATHIC TENDENCIES: RELIABILITY AND VALIDITY OF THE DUTCH VERSION OF THE INTERPERSONAL REACTIVITY INDEX	PSYCHOLOGICA BELGICA	2007	Article
au49	au15	MEASURING EMPATHIC TENDENCIES: RELIABILITY AND VALIDITY OF THE DUTCH VERSION OF THE INTERPERSONAL REACTIVITY INDEX	PSYCHOLOGICA BELGICA	2007	Article
au48	au15	MEASURING EMPATHIC TENDENCIES: RELIABILITY AND VALIDITY OF THE DUTCH VERSION OF THE INTERPERSONAL REACTIVITY INDEX	PSYCHOLOGICA BELGICA	2007	Article
au15	au53	Cognitions associated with attempts to empathize: How do we imagine the perspective of another?	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN	2004	Article; Proceedings Paper
au15	au11	Cognitions associated with attempts to empathize: How do we imagine the perspective of another?	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN	2004	Article; Proceedings Paper
au15	au23	Cognitions associated with attempts to empathize: How do we imagine the perspective of another?	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN	2004	Article; Proceedings Paper
au15	au35	Cognitions associated with attempts to empathize: How do we imagine the perspective of another?	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN	2004	Article; Proceedings Paper
au15	au46	Cognitions associated with attempts to empathize: How do we imagine the perspective of another?	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN	2004	Article; Proceedings Paper
au15	au61	Cognitions associated with attempts to empathize: How do we imagine the perspective of another?	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN	2004	Article; Proceedings Paper
au53	au11	Cognitions associated with attempts to empathize: How do we imagine the perspective of another?	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN	2004	Article; Proceedings Paper
au53	au23	Cognitions associated with attempts to empathize: How do we imagine the perspective of another?	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN	2004	Article; Proceedings Paper
au53	au35	Cognitions associated with attempts to empathize: How do we imagine the perspective of another?	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN	2004	Article; Proceedings Paper
au53	au46	Cognitions associated with attempts to empathize: How do we imagine the perspective of another?	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN	2004	Article; Proceedings Paper
au53	au61	Cognitions associated with attempts to empathize: How do we imagine the perspective of another?	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN	2004	Article; Proceedings Paper
au11	au23	Cognitions associated with attempts to empathize: How do we imagine the perspective of another?	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN	2004	Article; Proceedings Paper
au11	au35	Cognitions associated with attempts to empathize: How do we imagine the perspective of another?	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN	2004	Article; Proceedings Paper
au11	au46	Cognitions associated with attempts to empathize: How do we imagine the perspective of another?	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN	2004	Article; Proceedings Paper
au11	au61	Cognitions associated with attempts to empathize: How do we imagine the perspective of another?	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN	2004	Article; Proceedings Paper
au23	au35	Cognitions associated with attempts to empathize: How do we imagine the perspective of another?	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN	2004	Article; Proceedings Paper
au23	au46	Cognitions associated with attempts to empathize: How do we imagine the perspective of another?	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN	2004	Article; Proceedings Paper
au23	au61	Cognitions associated with attempts to empathize: How do we imagine the perspective of another?	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN	2004	Article; Proceedings Paper
au35	au46	Cognitions associated with attempts to empathize: How do we imagine the perspective of another?	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN	2004	Article; Proceedings Paper
au35	au61	Cognitions associated with attempts to empathize: How do we imagine the perspective of another?	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN	2004	Article; Proceedings Paper
au46	au61	Cognitions associated with attempts to empathize: How do we imagine the perspective of another?	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN	2004	Article; Proceedings Paper
au15	au7	Measuring conflict-related behaviors: Reliability and validity evidence regarding the conflict dynamics profile	EDUCATIONAL AND PSYCHOLOGICAL MEASUREMENT	2004	Article; Proceedings Paper
au15	au33	Measuring conflict-related behaviors: Reliability and validity evidence regarding the conflict dynamics profile	EDUCATIONAL AND PSYCHOLOGICAL MEASUREMENT	2004	Article; Proceedings Paper
au7	au33	Measuring conflict-related behaviors: Reliability and validity evidence regarding the conflict dynamics profile	EDUCATIONAL AND PSYCHOLOGICAL MEASUREMENT	2004	Article; Proceedings Paper
au15	au25	The first year: Influences on the satisfaction, involvement, and persistence of new community volunteers	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN	2003	Article
au15	au41	The first year: Influences on the satisfaction, involvement, and persistence of new community volunteers	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN	2003	Article
au25	au41	The first year: Influences on the satisfaction, involvement, and persistence of new community volunteers	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN	2003	Article
au25	au15	Dispositional empathy in scientist and practitioner psychologists: Group differences and relationship to self-reported professional effectiveness	PSYCHOTHERAPY	2000	Article
au25	au13	Dispositional empathy in scientist and practitioner psychologists: Group differences and relationship to self-reported professional effectiveness	PSYCHOTHERAPY	2000	Article
au15	au13	Dispositional empathy in scientist and practitioner psychologists: Group differences and relationship to self-reported professional effectiveness	PSYCHOTHERAPY	2000	Article
au15	au43	Empathy, expectations, and situational preferences: Personality influences on the decision to participate in volunteer helping behaviors	JOURNAL OF PERSONALITY	1999	Article
au15	au25	Empathy, expectations, and situational preferences: Personality influences on the decision to participate in volunteer helping behaviors	JOURNAL OF PERSONALITY	1999	Article
au15	au37	Empathy, expectations, and situational preferences: Personality influences on the decision to participate in volunteer helping behaviors	JOURNAL OF PERSONALITY	1999	Article
au15	au52	Empathy, expectations, and situational preferences: Personality influences on the decision to participate in volunteer helping behaviors	JOURNAL OF PERSONALITY	1999	Article
au15	au42	Empathy, expectations, and situational preferences: Personality influences on the decision to participate in volunteer helping behaviors	JOURNAL OF PERSONALITY	1999	Article
au43	au25	Empathy, expectations, and situational preferences: Personality influences on the decision to participate in volunteer helping behaviors	JOURNAL OF PERSONALITY	1999	Article
au43	au37	Empathy, expectations, and situational preferences: Personality influences on the decision to participate in volunteer helping behaviors	JOURNAL OF PERSONALITY	1999	Article
au43	au52	Empathy, expectations, and situational preferences: Personality influences on the decision to participate in volunteer helping behaviors	JOURNAL OF PERSONALITY	1999	Article
au43	au42	Empathy, expectations, and situational preferences: Personality influences on the decision to participate in volunteer helping behaviors	JOURNAL OF PERSONALITY	1999	Article
au25	au37	Empathy, expectations, and situational preferences: Personality influences on the decision to participate in volunteer helping behaviors	JOURNAL OF PERSONALITY	1999	Article
au25	au52	Empathy, expectations, and situational preferences: Personality influences on the decision to participate in volunteer helping behaviors	JOURNAL OF PERSONALITY	1999	Article
au25	au42	Empathy, expectations, and situational preferences: Personality influences on the decision to participate in volunteer helping behaviors	JOURNAL OF PERSONALITY	1999	Article
au37	au52	Empathy, expectations, and situational preferences: Personality influences on the decision to participate in volunteer helping behaviors	JOURNAL OF PERSONALITY	1999	Article
au37	au42	Empathy, expectations, and situational preferences: Personality influences on the decision to participate in volunteer helping behaviors	JOURNAL OF PERSONALITY	1999	Article
au52	au42	Empathy, expectations, and situational preferences: Personality influences on the decision to participate in volunteer helping behaviors	JOURNAL OF PERSONALITY	1999	Article
au15	au45	Relationship-specific and global perceptions of social support: Associations with well-being and attachment	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1998	Article
au15	au33	Relationship-specific and global perceptions of social support: Associations with well-being and attachment	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1998	Article
au45	au33	Relationship-specific and global perceptions of social support: Associations with well-being and attachment	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1998	Article
au15	au12	Effect of perspective taking on the cognitive representation of persons: A merging of self and other	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1996	Article
au15	au51	Effect of perspective taking on the cognitive representation of persons: A merging of self and other	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1996	Article
au15	au38	Effect of perspective taking on the cognitive representation of persons: A merging of self and other	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1996	Article
au12	au51	Effect of perspective taking on the cognitive representation of persons: A merging of self and other	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1996	Article
au12	au38	Effect of perspective taking on the cognitive representation of persons: A merging of self and other	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1996	Article
au51	au38	Effect of perspective taking on the cognitive representation of persons: A merging of self and other	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1996	Article
au15	au38	THE HERITABILITY OF CHARACTERISTICS ASSOCIATED WITH DISPOSITIONAL EMPATHY	JOURNAL OF PERSONALITY	1994	Article
au15	au34	THE HERITABILITY OF CHARACTERISTICS ASSOCIATED WITH DISPOSITIONAL EMPATHY	JOURNAL OF PERSONALITY	1994	Article
au38	au34	THE HERITABILITY OF CHARACTERISTICS ASSOCIATED WITH DISPOSITIONAL EMPATHY	JOURNAL OF PERSONALITY	1994	Article
au22	au15	2 SOCIAL WORLDS - SOCIAL CORRELATES AND STABILITY OF ADOLESCENT STATUS GROUPS	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1994	Article
au22	au58	2 SOCIAL WORLDS - SOCIAL CORRELATES AND STABILITY OF ADOLESCENT STATUS GROUPS	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1994	Article
au15	au58	2 SOCIAL WORLDS - SOCIAL CORRELATES AND STABILITY OF ADOLESCENT STATUS GROUPS	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1994	Article
au33	au3	PERSONAL AND SOCIAL INFLUENCES ON LONELINESS - THE MEDIATING EFFECT OF SOCIAL PROVISIONS	SOCIAL PSYCHOLOGY QUARTERLY	1993	Article
au33	au15	PERSONAL AND SOCIAL INFLUENCES ON LONELINESS - THE MEDIATING EFFECT OF SOCIAL PROVISIONS	SOCIAL PSYCHOLOGY QUARTERLY	1993	Article
au33	au10	PERSONAL AND SOCIAL INFLUENCES ON LONELINESS - THE MEDIATING EFFECT OF SOCIAL PROVISIONS	SOCIAL PSYCHOLOGY QUARTERLY	1993	Article
au33	au32	PERSONAL AND SOCIAL INFLUENCES ON LONELINESS - THE MEDIATING EFFECT OF SOCIAL PROVISIONS	SOCIAL PSYCHOLOGY QUARTERLY	1993	Article
au3	au15	PERSONAL AND SOCIAL INFLUENCES ON LONELINESS - THE MEDIATING EFFECT OF SOCIAL PROVISIONS	SOCIAL PSYCHOLOGY QUARTERLY	1993	Article
au3	au10	PERSONAL AND SOCIAL INFLUENCES ON LONELINESS - THE MEDIATING EFFECT OF SOCIAL PROVISIONS	SOCIAL PSYCHOLOGY QUARTERLY	1993	Article
au3	au32	PERSONAL AND SOCIAL INFLUENCES ON LONELINESS - THE MEDIATING EFFECT OF SOCIAL PROVISIONS	SOCIAL PSYCHOLOGY QUARTERLY	1993	Article
au15	au10	PERSONAL AND SOCIAL INFLUENCES ON LONELINESS - THE MEDIATING EFFECT OF SOCIAL PROVISIONS	SOCIAL PSYCHOLOGY QUARTERLY	1993	Article
au15	au32	PERSONAL AND SOCIAL INFLUENCES ON LONELINESS - THE MEDIATING EFFECT OF SOCIAL PROVISIONS	SOCIAL PSYCHOLOGY QUARTERLY	1993	Article
au10	au32	PERSONAL AND SOCIAL INFLUENCES ON LONELINESS - THE MEDIATING EFFECT OF SOCIAL PROVISIONS	SOCIAL PSYCHOLOGY QUARTERLY	1993	Article
au15	au26	DECLINES IN MAJOR-LEAGUE BATTING PERFORMANCE AS A FUNCTION OF GAME PRESSURE - A DRIVE THEORY ANALYSIS	JOURNAL OF APPLIED SOCIAL PSYCHOLOGY	1992	Article
au1	au15	INTIMACY, PASSION AND COMMITMENT IN ADULT ROMANTIC RELATIONSHIPS - A TEST OF THE TRIANGULAR THEORY OF LOVE	JOURNAL OF SOCIAL AND PERSONAL RELATIONSHIPS	1992	Article
au15	au47	THE EFFECT OF DISPOSITIONAL EMPATHY ON ROMANTIC RELATIONSHIP BEHAVIORS - HETEROSOCIAL ANXIETY AS A MODERATING INFLUENCE	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN	1992	Article
au15	au22	STABILITY AND CHANGE IN ADOLESCENT SELF-CONSCIOUSNESS AND EMPATHY	JOURNAL OF RESEARCH IN PERSONALITY	1991	Article
au22	au15	A MOTIVATIONAL EXPLANATION FOR THE EXISTENCE OF PRIVATE SELF-CONSCIOUSNESS DIFFERENCES	JOURNAL OF PERSONALITY	1990	Article
au22	au39	A MOTIVATIONAL EXPLANATION FOR THE EXISTENCE OF PRIVATE SELF-CONSCIOUSNESS DIFFERENCES	JOURNAL OF PERSONALITY	1990	Article
au15	au39	A MOTIVATIONAL EXPLANATION FOR THE EXISTENCE OF PRIVATE SELF-CONSCIOUSNESS DIFFERENCES	JOURNAL OF PERSONALITY	1990	Article
au15	au33	SOCIAL CONTACT, LONELINESS, AND MASS-MEDIA USE - A TEST OF 2 HYPOTHESES	JOURNAL OF APPLIED SOCIAL PSYCHOLOGY	1989	Article
au15	au47	MAINTENANCE OF SATISFACTION IN ROMANTIC RELATIONSHIPS - EMPATHY AND RELATIONAL COMPETENCE	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1987	Article
au15	au29	EMOTIONAL-REACTIONS TO DRAMATIC FILM STIMULI - THE INFLUENCE OF COGNITIVE AND EMOTIONAL EMPATHY	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1987	Article
au15	au62	EMOTIONAL-REACTIONS TO DRAMATIC FILM STIMULI - THE INFLUENCE OF COGNITIVE AND EMOTIONAL EMPATHY	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1987	Article
au15	au60	EMOTIONAL-REACTIONS TO DRAMATIC FILM STIMULI - THE INFLUENCE OF COGNITIVE AND EMOTIONAL EMPATHY	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1987	Article
au29	au62	EMOTIONAL-REACTIONS TO DRAMATIC FILM STIMULI - THE INFLUENCE OF COGNITIVE AND EMOTIONAL EMPATHY	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1987	Article
au29	au60	EMOTIONAL-REACTIONS TO DRAMATIC FILM STIMULI - THE INFLUENCE OF COGNITIVE AND EMOTIONAL EMPATHY	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1987	Article
au62	au60	EMOTIONAL-REACTIONS TO DRAMATIC FILM STIMULI - THE INFLUENCE OF COGNITIVE AND EMOTIONAL EMPATHY	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1987	Article
au15	au22	ADOLESCENT LONELINESS, SELF-DISCLOSURE, AND PRIVATE SELF-CONSCIOUSNESS - A LONGITUDINAL INVESTIGATION	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1986	Article
au22	au15	ADOLESCENT SELF-DISCLOSURE AND LONELINESS - PRIVATE SELF-CONSCIOUSNESS AND PARENTAL INFLUENCES	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1985	Article
au22	au15	THE EFFECTS OF PRIVATE SELF-CONSCIOUSNESS AND PERSPECTIVE TAKING ON SATISFACTION IN CLOSE RELATIONSHIPS	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1985	Article
au22	au62	THE EFFECTS OF PRIVATE SELF-CONSCIOUSNESS AND PERSPECTIVE TAKING ON SATISFACTION IN CLOSE RELATIONSHIPS	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1985	Article
au15	au62	THE EFFECTS OF PRIVATE SELF-CONSCIOUSNESS AND PERSPECTIVE TAKING ON SATISFACTION IN CLOSE RELATIONSHIPS	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1985	Article
au5	au15	Perspective-Taking, Self-Consciousness, and Accuracy in Person Perception	BASIC AND APPLIED SOCIAL PSYCHOLOGY	1982	Article
au15	au50	BELIEFS AND ATTITUDES IN A GUBERNATORIAL PRIMARY - SOME LIMITATIONS ON THE FISHBEIN MODEL	JOURNAL OF APPLIED SOCIAL PSYCHOLOGY	1981	Article
au2	au19	THE ROLE OF DISPOSITIONAL EMPATHY AND SOCIAL EVALUATION IN THE EMPATHIC MEDIATION OF HELPING	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1981	Article
au2	au24	THE ROLE OF DISPOSITIONAL EMPATHY AND SOCIAL EVALUATION IN THE EMPATHIC MEDIATION OF HELPING	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1981	Article
au2	au15	THE ROLE OF DISPOSITIONAL EMPATHY AND SOCIAL EVALUATION IN THE EMPATHIC MEDIATION OF HELPING	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1981	Article
au2	au21	THE ROLE OF DISPOSITIONAL EMPATHY AND SOCIAL EVALUATION IN THE EMPATHIC MEDIATION OF HELPING	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1981	Article
au19	au24	THE ROLE OF DISPOSITIONAL EMPATHY AND SOCIAL EVALUATION IN THE EMPATHIC MEDIATION OF HELPING	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1981	Article
au19	au15	THE ROLE OF DISPOSITIONAL EMPATHY AND SOCIAL EVALUATION IN THE EMPATHIC MEDIATION OF HELPING	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1981	Article
au19	au21	THE ROLE OF DISPOSITIONAL EMPATHY AND SOCIAL EVALUATION IN THE EMPATHIC MEDIATION OF HELPING	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1981	Article
au24	au15	THE ROLE OF DISPOSITIONAL EMPATHY AND SOCIAL EVALUATION IN THE EMPATHIC MEDIATION OF HELPING	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1981	Article
au24	au21	THE ROLE OF DISPOSITIONAL EMPATHY AND SOCIAL EVALUATION IN THE EMPATHIC MEDIATION OF HELPING	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1981	Article
au15	au21	THE ROLE OF DISPOSITIONAL EMPATHY AND SOCIAL EVALUATION IN THE EMPATHIC MEDIATION OF HELPING	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	1981	Article
au15	au55	ATTRIBUTIONS FOR EXAM PERFORMANCE	JOURNAL OF APPLIED SOCIAL PSYCHOLOGY	1980	Article
au21	au15	THE EFFECTS OF COGNITIVE AND BEHAVIORAL-CONTROL ON POST-STRESS PERFORMANCE	JOURNAL OF HUMAN STRESS	1980	Article
au21	au55	THE EFFECTS OF COGNITIVE AND BEHAVIORAL-CONTROL ON POST-STRESS PERFORMANCE	JOURNAL OF HUMAN STRESS	1980	Article
au21	au5	THE EFFECTS OF COGNITIVE AND BEHAVIORAL-CONTROL ON POST-STRESS PERFORMANCE	JOURNAL OF HUMAN STRESS	1980	Article
